"cityid","cityname","provinceid","provinceidname"
1,"北京市",1,"北京市"
1,"哈尔滨市",10,"黑龙江省"
10,"七台河市",10,"黑龙江省"
11,"黑河市",10,"黑龙江省"
12,"绥化市",10,"黑龙江省"
13,"大兴安岭地区",10,"黑龙江省"
2,"齐齐哈尔市",10,"黑龙江省"
3,"鹤岗市",10,"黑龙江省"
4,"双鸭山市",10,"黑龙江省"
5,"鸡西市",10,"黑龙江省"
6,"大庆市",10,"黑龙江省"
7,"伊春市",10,"黑龙江省"
8,"牡丹江市",10,"黑龙江省"
9,"佳木斯市",10,"黑龙江省"
1,"南京市",11,"江苏省"
10,"扬州市",11,"江苏省"
11,"镇江市",11,"江苏省"
12,"泰州市",11,"江苏省"
13,"宿迁市",11,"江苏省"
2,"无锡市",11,"江苏省"
3,"徐州市",11,"江苏省"
4,"常州市",11,"江苏省"
5,"苏州市",11,"江苏省"
6,"南通市",11,"江苏省"
7,"连云港市",11,"江苏省"
8,"淮安市",11,"江苏省"
9,"盐城市",11,"江苏省"
1,"杭州市",12,"浙江省"
10,"台州市",12,"浙江省"
11,"丽水市",12,"浙江省"
2,"宁波市",12,"浙江省"
3,"温州市",12,"浙江省"
4,"嘉兴市",12,"浙江省"
5,"湖州市",12,"浙江省"
6,"绍兴市",12,"浙江省"
7,"金华市",12,"浙江省"
8,"衢州市",12,"浙江省"
9,"舟山市",12,"浙江省"
1,"合肥市",13,"安徽省"
10,"滁州市",13,"安徽省"
11,"阜阳市",13,"安徽省"
12,"宿州市",13,"安徽省"
13,"巢湖市",13,"安徽省"
14,"六安市",13,"安徽省"
15,"亳州市",13,"安徽省"
16,"池州市",13,"安徽省"
17,"宣城市",13,"安徽省"
2,"芜湖市",13,"安徽省"
3,"蚌埠市",13,"安徽省"
4,"淮南市",13,"安徽省"
5,"马鞍山市",13,"安徽省"
6,"淮北市",13,"安徽省"
7,"铜陵市",13,"安徽省"
8,"安庆市",13,"安徽省"
9,"黄山市",13,"安徽省"
1,"福州市",14,"福建省"
2,"厦门市",14,"福建省"
3,"莆田市",14,"福建省"
4,"三明市",14,"福建省"
5,"泉州市",14,"福建省"
6,"漳州市",14,"福建省"
7,"南平市",14,"福建省"
8,"龙岩市",14,"福建省"
9,"宁德市",14,"福建省"
1,"南昌市",15,"江西省"
10,"抚州市",15,"江西省"
11,"上饶市",15,"江西省"
2,"景德镇市",15,"江西省"
3,"萍乡市",15,"江西省"
4,"九江市",15,"江西省"
5,"新余市",15,"江西省"
6,"鹰潭市",15,"江西省"
7,"赣州市",15,"江西省"
8,"吉安市",15,"江西省"
9,"宜春市",15,"江西省"
1,"济南市",16,"山东省"
10,"威海市",16,"山东省"
11,"日照市",16,"山东省"
12,"莱芜市",16,"山东省"
13,"临沂市",16,"山东省"
14,"德州市",16,"山东省"
15,"聊城市",16,"山东省"
16,"滨州市",16,"山东省"
17,"菏泽市",16,"山东省"
2,"青岛市",16,"山东省"
3,"淄博市",16,"山东省"
4,"枣庄市",16,"山东省"
5,"东营市",16,"山东省"
6,"烟台市",16,"山东省"
7,"潍坊市",16,"山东省"
8,"济宁市",16,"山东省"
9,"泰安市",16,"山东省"
1,"郑州市",17,"河南省"
10,"许昌市",17,"河南省"
11,"漯河市",17,"河南省"
12,"三门峡市",17,"河南省"
13,"南阳市",17,"河南省"
14,"商丘市",17,"河南省"
15,"信阳市",17,"河南省"
16,"周口市",17,"河南省"
17,"驻马店市",17,"河南省"
18,"济源市",17,"河南省"
2,"开封市",17,"河南省"
3,"洛阳市",17,"河南省"
4,"平顶山市",17,"河南省"
5,"安阳市",17,"河南省"
6,"鹤壁市",17,"河南省"
7,"新乡市",17,"河南省"
8,"焦作市",17,"河南省"
9,"濮阳市",17,"河南省"
1,"武汉市",18,"湖北省"
10,"黄冈市",18,"湖北省"
11,"咸宁市",18,"湖北省"
12,"随州市",18,"湖北省"
13,"仙桃市",18,"湖北省"
14,"天门市",18,"湖北省"
15,"潜江市",18,"湖北省"
16,"神农架林区",18,"湖北省"
17,"恩施土家族苗族自治州",18,"湖北省"
2,"黄石市",18,"湖北省"
3,"十堰市",18,"湖北省"
4,"荆州市",18,"湖北省"
5,"宜昌市",18,"湖北省"
6,"襄樊市",18,"湖北省"
7,"鄂州市",18,"湖北省"
8,"荆门市",18,"湖北省"
9,"孝感市",18,"湖北省"
1,"长沙市",19,"湖南省"
10,"郴州市",19,"湖南省"
11,"永州市",19,"湖南省"
12,"怀化市",19,"湖南省"
13,"娄底市",19,"湖南省"
14,"湘西土家族苗族自治州",19,"湖南省"
2,"株洲市",19,"湖南省"
3,"湘潭市",19,"湖南省"
4,"衡阳市",19,"湖南省"
5,"邵阳市",19,"湖南省"
6,"岳阳市",19,"湖南省"
7,"常德市",19,"湖南省"
8,"张家界市",19,"湖南省"
9,"益阳市",19,"湖南省"
1,"天津市",2,"天津市"
1,"广州市",20,"广东省"
10,"肇庆市",20,"广东省"
11,"惠州市",20,"广东省"
12,"梅州市",20,"广东省"
13,"汕尾市",20,"广东省"
14,"河源市",20,"广东省"
15,"阳江市",20,"广东省"
16,"清远市",20,"广东省"
17,"东莞市",20,"广东省"
18,"中山市",20,"广东省"
19,"潮州市",20,"广东省"
2,"深圳市",20,"广东省"
20,"揭阳市",20,"广东省"
21,"云浮市",20,"广东省"
3,"珠海市",20,"广东省"
4,"汕头市",20,"广东省"
5,"韶关市",20,"广东省"
6,"佛山市",20,"广东省"
7,"江门市",20,"广东省"
8,"湛江市",20,"广东省"
9,"茂名市",20,"广东省"
1,"兰州市",21,"甘肃省"
10,"庆阳市",21,"甘肃省"
11,"定西市",21,"甘肃省"
12,"陇南市",21,"甘肃省"
13,"临夏回族自治州",21,"甘肃省"
14,"甘南藏族自治州",21,"甘肃省"
2,"金昌市",21,"甘肃省"
3,"白银市",21,"甘肃省"
4,"天水市",21,"甘肃省"
5,"嘉峪关市",21,"甘肃省"
6,"武威市",21,"甘肃省"
7,"张掖市",21,"甘肃省"
8,"平凉市",21,"甘肃省"
9,"酒泉市",21,"甘肃省"
1,"成都市",22,"四川省"
10,"乐山市",22,"四川省"
11,"南充市",22,"四川省"
12,"眉山市",22,"四川省"
13,"宜宾市",22,"四川省"
14,"广安市",22,"四川省"
15,"达州市",22,"四川省"
16,"雅安市",22,"四川省"
17,"巴中市",22,"四川省"
18,"资阳市",22,"四川省"
19,"阿坝藏族羌族自治州",22,"四川省"
2,"自贡市",22,"四川省"
20,"甘孜藏族自治州",22,"四川省"
21,"凉山彝族自治州",22,"四川省"
3,"攀枝花市",22,"四川省"
4,"泸州市",22,"四川省"
5,"德阳市",22,"四川省"
6,"绵阳市",22,"四川省"
7,"广元市",22,"四川省"
8,"遂宁市",22,"四川省"
9,"内江市",22,"四川省"
1,"贵阳市",23,"贵州省"
2,"六盘水市",23,"贵州省"
3,"遵义市",23,"贵州省"
4,"安顺市",23,"贵州省"
5,"铜仁地区",23,"贵州省"
6,"毕节地区",23,"贵州省"
7,"黔西南布依族苗族自治州",23,"贵州省"
8,"黔东南苗族侗族自治州",23,"贵州省"
9,"黔南布依族苗族自治州",23,"贵州省"
1,"海口市",24,"海南省"
10,"定安县",24,"海南省"
11,"屯昌县",24,"海南省"
12,"临高县",24,"海南省"
13,"白沙黎族自治县",24,"海南省"
14,"昌江黎族自治县",24,"海南省"
15,"乐东黎族自治县",24,"海南省"
16,"陵水黎族自治县",24,"海南省"
17,"保亭黎族苗族自治县",24,"海南省"
18,"琼中黎族苗族自治县",24,"海南省"
2,"三亚市",24,"海南省"
3,"五指山市",24,"海南省"
4,"琼海市",24,"海南省"
5,"儋州市",24,"海南省"
6,"文昌市",24,"海南省"
7,"万宁市",24,"海南省"
8,"东方市",24,"海南省"
9,"澄迈县",24,"海南省"
1,"昆明市",25,"云南省"
10,"红河哈尼族彝族自治州",25,"云南省"
11,"西双版纳傣族自治州",25,"云南省"
12,"楚雄彝族自治州",25,"云南省"
13,"大理白族自治州",25,"云南省"
14,"德宏傣族景颇族自治州",25,"云南省"
15,"怒江傈傈族自治州",25,"云南省"
16,"迪庆藏族自治州",25,"云南省"
2,"曲靖市",25,"云南省"
3,"玉溪市",25,"云南省"
4,"保山市",25,"云南省"
5,"昭通市",25,"云南省"
6,"丽江市",25,"云南省"
7,"思茅市",25,"云南省"
8,"临沧市",25,"云南省"
9,"文山壮族苗族自治州",25,"云南省"
1,"西宁市",26,"青海省"
2,"海东地区",26,"青海省"
3,"海北藏族自治州",26,"青海省"
4,"黄南藏族自治州",26,"青海省"
5,"海南藏族自治州",26,"青海省"
6,"果洛藏族自治州",26,"青海省"
7,"玉树藏族自治州",26,"青海省"
8,"海西蒙古族藏族自治州",26,"青海省"
1,"西安市",27,"陕西省"
10,"商洛市",27,"陕西省"
2,"铜川市",27,"陕西省"
3,"宝鸡市",27,"陕西省"
4,"咸阳市",27,"陕西省"
5,"渭南市",27,"陕西省"
6,"延安市",27,"陕西省"
7,"汉中市",27,"陕西省"
8,"榆林市",27,"陕西省"
9,"安康市",27,"陕西省"
1,"南宁市",28,"广西壮族自治区"
10,"百色市",28,"广西壮族自治区"
11,"贺州市",28,"广西壮族自治区"
12,"河池市",28,"广西壮族自治区"
13,"来宾市",28,"广西壮族自治区"
14,"崇左市",28,"广西壮族自治区"
2,"柳州市",28,"广西壮族自治区"
3,"桂林市",28,"广西壮族自治区"
4,"梧州市",28,"广西壮族自治区"
5,"北海市",28,"广西壮族自治区"
6,"防城港市",28,"广西壮族自治区"
7,"钦州市",28,"广西壮族自治区"
8,"贵港市",28,"广西壮族自治区"
9,"玉林市",28,"广西壮族自治区"
1,"拉萨市",29,"西藏自治区"
2,"那曲地区",29,"西藏自治区"
3,"昌都地区",29,"西藏自治区"
4,"山南地区",29,"西藏自治区"
5,"日喀则地区",29,"西藏自治区"
6,"阿里地区",29,"西藏自治区"
7,"林芝地区",29,"西藏自治区"
1,"上海市",3,"上海市"
1,"银川市",30,"宁夏回族自治区"
2,"石嘴山市",30,"宁夏回族自治区"
3,"吴忠市",30,"宁夏回族自治区"
4,"固原市",30,"宁夏回族自治区"
5,"中卫市",30,"宁夏回族自治区"
1,"乌鲁木齐市",31,"新疆维吾尔自治区"
10,"哈密市",31,"新疆维吾尔自治区"
11,"和田市",31,"新疆维吾尔自治区"
12,"阿图什市",31,"新疆维吾尔自治区"
13,"库尔勒市",31,"新疆维吾尔自治区"
14,"昌吉市　",31,"新疆维吾尔自治区"
15,"阜康市",31,"新疆维吾尔自治区"
16,"米泉市",31,"新疆维吾尔自治区"
17,"博乐市",31,"新疆维吾尔自治区"
18,"伊宁市",31,"新疆维吾尔自治区"
19,"奎屯市",31,"新疆维吾尔自治区"
2,"克拉玛依市",31,"新疆维吾尔自治区"
20,"塔城市",31,"新疆维吾尔自治区"
21,"乌苏市",31,"新疆维吾尔自治区"
22,"阿勒泰市",31,"新疆维吾尔自治区"
3,"石河子市　",31,"新疆维吾尔自治区"
4,"阿拉尔市",31,"新疆维吾尔自治区"
5,"图木舒克市",31,"新疆维吾尔自治区"
6,"五家渠市",31,"新疆维吾尔自治区"
7,"吐鲁番市",31,"新疆维吾尔自治区"
8,"阿克苏市",31,"新疆维吾尔自治区"
9,"喀什市",31,"新疆维吾尔自治区"
1,"呼和浩特市",32,"内蒙古自治区"
10,"锡林郭勒盟",32,"内蒙古自治区"
11,"兴安盟",32,"内蒙古自治区"
12,"阿拉善盟",32,"内蒙古自治区"
2,"包头市",32,"内蒙古自治区"
3,"乌海市",32,"内蒙古自治区"
4,"赤峰市",32,"内蒙古自治区"
5,"通辽市",32,"内蒙古自治区"
6,"鄂尔多斯市",32,"内蒙古自治区"
7,"呼伦贝尔市",32,"内蒙古自治区"
8,"巴彦淖尔市",32,"内蒙古自治区"
9,"乌兰察布市",32,"内蒙古自治区"
1,"澳门特别行政区",33,"澳门特别行政区"
1,"香港特别行政区",34,"香港特别行政区"
1,"重庆市",4,"重庆市"
1,"石家庄市",5,"河北省"
10,"廊坊市",5,"河北省"
11,"衡水市",5,"河北省"
2,"唐山市",5,"河北省"
3,"秦皇岛市",5,"河北省"
4,"邯郸市",5,"河北省"
5,"邢台市",5,"河北省"
6,"保定市",5,"河北省"
7,"张家口市",5,"河北省"
8,"承德市",5,"河北省"
9,"沧州市",5,"河北省"
1,"太原市",6,"山西省"
10,"临汾市",6,"山西省"
11,"吕梁市",6,"山西省"
2,"大同市",6,"山西省"
3,"阳泉市",6,"山西省"
4,"长治市",6,"山西省"
5,"晋城市",6,"山西省"
6,"朔州市",6,"山西省"
7,"晋中市",6,"山西省"
8,"运城市",6,"山西省"
9,"忻州市",6,"山西省"
1,"台北市",7,"台湾省"
10,"桃园县",7,"台湾省"
11,"新竹县",7,"台湾省"
12,"苗栗县",7,"台湾省"
13,"台中县",7,"台湾省"
14,"彰化县",7,"台湾省"
15,"南投县",7,"台湾省"
16,"云林县",7,"台湾省"
17,"嘉义县",7,"台湾省"
18,"台南县",7,"台湾省"
19,"高雄县",7,"台湾省"
2,"高雄市",7,"台湾省"
20,"屏东县",7,"台湾省"
21,"澎湖县",7,"台湾省"
22,"台东县",7,"台湾省"
23,"花莲县",7,"台湾省"
3,"基隆市",7,"台湾省"
4,"台中市",7,"台湾省"
5,"台南市",7,"台湾省"
6,"新竹市",7,"台湾省"
7,"嘉义市",7,"台湾省"
8,"台北县",7,"台湾省"
9,"宜兰县",7,"台湾省"
1,"沈阳市",8,"辽宁省"
10,"辽阳市",8,"辽宁省"
11,"盘锦市",8,"辽宁省"
12,"铁岭市",8,"辽宁省"
13,"朝阳市",8,"辽宁省"
14,"葫芦岛市",8,"辽宁省"
2,"大连市",8,"辽宁省"
3,"鞍山市",8,"辽宁省"
4,"抚顺市",8,"辽宁省"
5,"本溪市",8,"辽宁省"
6,"丹东市",8,"辽宁省"
7,"锦州市",8,"辽宁省"
8,"营口市",8,"辽宁省"
9,"阜新市",8,"辽宁省"
1,"长春市",9,"吉林省"
2,"吉林市",9,"吉林省"
3,"四平市",9,"吉林省"
4,"辽源市",9,"吉林省"
5,"通化市",9,"吉林省"
