   ,DISCODE,DISNAME,OFFICECODE,OFFICENAME,SHOPADDR,BOSS,CITY,POSTCODE,lat,lng
1,1001384,四川省绵竹市蒲昌清,1001,四川直营办事处,四川省德阳市绵竹市中心广场,蒲昌清,绵竹市,618200,31.43665731,104.1292939
2,1001385,四川省罗江县杨秀全,1001,四川直营办事处,四川省德阳市罗江县十字街二楼,杨秀全,罗江县,618500,31.32026519,104.5354103
3,1001386,四川省中江县胡海燕,1001,四川直营办事处,四川省德阳市中江县伍城北路193号,胡海燕,中江县,618100,31.05038012,104.6873565
4,1001388,四川省绵阳市郑成军,1001,四川直营办事处,四川省绵阳市百货大楼二、三楼,郑成军,绵阳市涪城区,621000,31.64990953,104.4261201
5,1001389,四川省平武县肖理仕,1001,四川直营办事处,四川省绵阳市平武县报恩寺休闲广场旁二楼,肖理仕,平武县,622550,32.41486494,104.5399484
6,1001392,四川省梓潼县白礼模,1001,四川直营办事处,四川省绵阳市梓潼县新世纪广场,白礼模,510700,622150,31.653621,105.1938342
7,1001393,四川省盐亭县许洪,1001,四川直营办事处,四川省绵阳市盐亭县汇丰休闲广场,许洪,盐亭县,621600,31.22752894,105.3993812
8,1001394,四川省三台县左天保,1001,四川直营办事处,四川省绵阳市三台县银杏路喜洋洋广场一区,左天保,510700,621100,31.08928239,105.0856418
9,1001395,四川省广元市利州区邹献东,1001,四川直营办事处,四川省广元市利州区新华街文化大厦二三楼,邹献东,广元市利州区,628017,32.44572716,105.8293928
10,1001396,四川省剑阁县罗跃春,1001,四川直营办事处,四川省广元市剑阁县农贸市场烟草公司旁,罗跃春,剑阁县,628300,31.92194773,105.503021
11,1001397,四川省苍溪县陈琦,1001,四川直营办事处,苍溪县解放路下段（翠屏家园斜对面）,陈琦,苍溪县,628400,28.81581998,104.6932546
12,1001398,四川省巴中市任波,1001,四川直营办事处,四川省巴中市东方鑫村商贸物业园全友家私,任波,巴中市,624100,31.85622135,106.7829537
13,1001399,四川省南江县范康,1001,四川直营办事处,四川省南江县红四门市场二楼,范康,南江县,624411,32.33723921,106.836181
14,1001400,四川省通江县王明寿,1001,四川直营办事处,四川省巴中市通江县诺江镇北街1号,王明寿,511900,624411,31.91928749,107.2519919
15,1001401,平昌映发商贸有限公司,1001,四川直营办事处,四川省巴中市平昌县汉王庙新区巴河水电公司,董光映,511900,623300,31.58147013,107.1031062
16,1001402,四川省达州市李洪梅,1001,四川直营办事处,四川省达州市西外景西华庭2楼全友家私,李洪梅,达州市,636200,31.20705905,107.4659889
17,1001403,四川省万源市唐致溥,1001,四川直营办事处,四川省达州市万源市和平路53#,唐致溥,万源市,610000,32.07477656,108.045164
18,1001405,四川省开江县李洪梅,1001,四川直营办事处,四川省达州市开江县清河广场F幢3楼,李洪梅,开江县,636200,31.0515873,107.8910119
19,1001406,四川省大竹县夏廷兵,1001,四川直营办事处,四川省达州市大竹县黑豹家具老库房,夏廷兵,大竹县,636250,30.69077238,107.2798774
